facility_code,timestamp,emissions,power
0WAMBOWF,2025-10-01 00:00:00+10:00,0.0,65.23
0WAMBOWF,2025-10-01 00:05:00+10:00,0.0,64.647
0WAMBOWF,2025-10-01 00:10:00+10:00,0.0,61.929
0WAMBOWF,2025-10-01 00:15:00+10:00,0.0,60.274
0WAMBOWF,2025-10-01 00:20:00+10:00,0.0,62.89
0WAMBOWF,2025-10-01 00:25:00+10:00,0.0,64.965
0WAMBOWF,2025-10-01 00:30:00+10:00,0.0,63.345
0WAMBOWF,2025-10-01 00:35:00+10:00,0.0,63.924
0WAMBOWF,2025-10-01 00:40:00+10:00,0.0,62.167
0WAMBOWF,2025-10-01 00:45:00+10:00,0.0,62.576
0WAMBOWF,2025-10-01 00:50:00+10:00,0.0,60.908
0WAMBOWF,2025-10-01 00:55:00+10:00,0.0,63.941
0WAMBOWF,2025-10-01 01:00:00+10:00,0.0,66.908
0WAMBOWF,2025-10-01 01:05:00+10:00,0.0,61.402
0WAMBOWF,2025-10-01 01:10:00+10:00,0.0,64.123
0WAMBOWF,2025-10-01 01:15:00+10:00,0.0,65.163
0WAMBOWF,2025-10-01 01:20:00+10:00,0.0,63.519
0WAMBOWF,2025-10-01 01:25:00+10:00,0.0,67.092
0WAMBOWF,2025-10-01 01:30:00+10:00,0.0,66.998
0WAMBOWF,2025-10-01 01:35:00+10:00,0.0,69.161
0WAMBOWF,2025-10-01 01:40:00+10:00,0.0,67.497
0WAMBOWF,2025-10-01 01:45:00+10:00,0.0,62.513
0WAMBOWF,2025-10-01 01:50:00+10:00,0.0,62.151
0WAMBOWF,2025-10-01 01:55:00+10:00,0.0,58.127
0WAMBOWF,2025-10-01 02:00:00+10:00,0.0,58.458
0WAMBOWF,2025-10-01 02:05:00+10:00,0.0,56.48
0WAMBOWF,2025-10-01 02:10:00+10:00,0.0,58.985
0WAMBOWF,2025-10-01 02:15:00+10:00,0.0,63.12
0WAMBOWF,2025-10-01 02:20:00+10:00,0.0,61.579
0WAMBOWF,2025-10-01 02:25:00+10:00,0.0,58.472
0WAMBOWF,2025-10-01 02:30:00+10:00,0.0,59.988
0WAMBOWF,2025-10-01 02:35:00+10:00,0.0,59.886
0WAMBOWF,2025-10-01 02:40:00+10:00,0.0,59.685
0WAMBOWF,2025-10-01 02:45:00+10:00,0.0,59.902
0WAMBOWF,2025-10-01 02:50:00+10:00,0.0,58.006
0WAMBOWF,2025-10-01 02:55:00+10:00,0.0,64.235
0WAMBOWF,2025-10-01 03:00:00+10:00,0.0,57.384
0WAMBOWF,2025-10-01 03:05:00+10:00,0.0,54.853
0WAMBOWF,2025-10-01 03:10:00+10:00,0.0,54.87
0WAMBOWF,2025-10-01 03:15:00+10:00,0.0,55.192
0WAMBOWF,2025-10-01 03:20:00+10:00,0.0,58.257
0WAMBOWF,2025-10-01 03:25:00+10:00,0.0,57.205
0WAMBOWF,2025-10-01 03:30:00+10:00,0.0,54.777
0WAMBOWF,2025-10-01 03:35:00+10:00,0.0,56.828
0WAMBOWF,2025-10-01 03:40:00+10:00,0.0,52.409
0WAMBOWF,2025-10-01 03:45:00+10:00,0.0,56.167
0WAMBOWF,2025-10-01 03:50:00+10:00,0.0,58.284
0WAMBOWF,2025-10-01 03:55:00+10:00,0.0,61.563
0WAMBOWF,2025-10-01 04:00:00+10:00,0.0,65.423
0WAMBOWF,2025-10-01 04:05:00+10:00,0.0,65.436
0WAMBOWF,2025-10-01 04:10:00+10:00,0.0,64.64
0WAMBOWF,2025-10-01 04:15:00+10:00,0.0,66.455
0WAMBOWF,2025-10-01 04:20:00+10:00,0.0,63.249
0WAMBOWF,2025-10-01 04:25:00+10:00,0.0,62.559
0WAMBOWF,2025-10-01 04:30:00+10:00,0.0,63.333
0WAMBOWF,2025-10-01 04:35:00+10:00,0.0,61.054
0WAMBOWF,2025-10-01 04:40:00+10:00,0.0,61.541
0WAMBOWF,2025-10-01 04:45:00+10:00,0.0,62.779
0WAMBOWF,2025-10-01 04:50:00+10:00,0.0,59.591
0WAMBOWF,2025-10-01 04:55:00+10:00,0.0,65.525
0WAMBOWF,2025-10-01 05:00:00+10:00,0.0,62.882
0WAMBOWF,2025-10-01 05:05:00+10:00,0.0,62.929
0WAMBOWF,2025-10-01 05:10:00+10:00,0.0,58.813
0WAMBOWF,2025-10-01 05:15:00+10:00,0.0,58.914
0WAMBOWF,2025-10-01 05:20:00+10:00,0.0,62.251
0WAMBOWF,2025-10-01 05:25:00+10:00,0.0,64.168
0WAMBOWF,2025-10-01 05:30:00+10:00,0.0,61.975
0WAMBOWF,2025-10-01 05:35:00+10:00,0.0,59.69
0WAMBOWF,2025-10-01 05:40:00+10:00,0.0,62.297
0WAMBOWF,2025-10-01 05:45:00+10:00,0.0,59.444
0WAMBOWF,2025-10-01 05:50:00+10:00,0.0,60.795
0WAMBOWF,2025-10-01 05:55:00+10:00,0.0,58.874
0WAMBOWF,2025-10-01 06:00:00+10:00,0.0,58.58
0WAMBOWF,2025-10-01 06:05:00+10:00,0.0,56.696
0WAMBOWF,2025-10-01 06:10:00+10:00,0.0,60.088
0WAMBOWF,2025-10-01 06:15:00+10:00,0.0,61.324
